Step: 19 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 20 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 1 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 2 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 3 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 4 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 5 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 6 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 7 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 8 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 9 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 10 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 11 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 12 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 13 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 14 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 15 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 16 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 17 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 18 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 19 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 20 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 1 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 2 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 3 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 4 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 5 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 6 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 7 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 8 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 9 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 10 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 11 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 12 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 13 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 14 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 15 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 16 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 17 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 18 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 19 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 20 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 1 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 2 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 3 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 4 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 5 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 6 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 7 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 8 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 9 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 10 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 11 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 12 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 13 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 14 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 15 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 16 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 17 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 18 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 19 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 20 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 1 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 2 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 3 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 4 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 5 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 6 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 7 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 8 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 9 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 10 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 11 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 12 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 13 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 14 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 15 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 16 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 17 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 18 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 19 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 20 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 1 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 2 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 3 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 4 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 5 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 6 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 7 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 8 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 9 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 10 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 11 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 12 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 13 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 14 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 15 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 16 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 17 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 18 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 19 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 20 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 1 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 2 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 3 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 4 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 5 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 6 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 7 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 8 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 9 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
Step: 10 | Pos: [-3.11592524  0.59363521] | Sent Action: [0, 1]
